census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income
371830530072,3,37,37183,053007,2,Fuquay-Varina Community Library,15,50,31,15.254621579117586,9.478779465237874,37,183,53007,2,1500000US371830530072,Block Group 2,BG,2467006,37576,599.0,123929.0
371830530073,3,37,37183,053007,3,Fuquay-Varina Community Library,15,50,31,14.709039993961555,9.139770890087886,37,183,53007,3,1500000US371830530073,Block Group 3,BG,5530065,414160,974.0,125083.0
371830530091,3,37,37183,053009,1,Fuquay-Varina Community Library,15,50,31,18.019418529321225,11.19674411098286,37,183,53009,1,1500000US371830530091,Block Group 1,BG,10544666,42923,2084.0,43219.0
371830530092,3,37,37183,053009,2,Fuquay-Varina Community Library,15,50,31,15.89766258968188,9.87834650101322,37,183,53009,2,1500000US371830530092,Block Group 2,BG,5098035,11048,1168.0,71343.0
371830530093,3,37,37183,053009,3,Fuquay-Varina Community Library,15,50,31,13.961624093798072,8.675348324787402,37,183,53009,3,1500000US371830530093,Block Group 3,BG,5306886,0,868.0,48867.0
371830530094,3,37,37183,053009,4,Fuquay-Varina Community Library,15,50,31,13.219397570705452,8.214150287906817,37,183,53009,4,1500000US371830530094,Block Group 4,BG,2108575,27252,2138.0,148367.0
371830530095,3,37,37183,053009,5,Fuquay-Varina Community Library,15,50,31,13.314178014450079,8.27304410701686,37,183,53009,5,1500000US371830530095,Block Group 5,BG,6231059,0,2514.0,79836.0
371830530102,3,37,37183,053010,2,Fuquay-Varina Community Library,15,50,31,15.064361494886363,9.360557366439034,37,183,53010,2,1500000US371830530102,Block Group 2,BG,5103395,714802,1124.0,118864.0
371830530103,3,37,37183,053010,3,Fuquay-Varina Community Library,15,50,31,12.76658170937879,7.932783643338409,37,183,53010,3,1500000US371830530103,Block Group 3,BG,4378871,1178444,1512.0,156136.0
371830531051,3,37,37183,053105,1,Fuquay-Varina Community Library,15,50,31,2.6909913123630713,1.672103962754354,37,183,53105,1,1500000US371830531051,Block Group 1,BG,2694225,13725,1901.0,82821.0
371830531052,3,37,37183,053105,2,Fuquay-Varina Community Library,15,50,31,2.5972242996609083,1.6138398603045983,37,183,53105,2,1500000US371830531052,Block Group 2,BG,5174609,49188,2664.0,85750.0
371830531061,3,37,37183,053106,1,Fuquay-Varina Community Library,15,50,31,2.44225096208337,1.5175439225607057,37,183,53106,1,1500000US371830531061,Block Group 1,BG,2587185,0,1672.0,34276.0
371830531062,3,37,37183,053106,2,Fuquay-Varina Community Library,15,50,31,4.397853085091099,2.7326983693361413,37,183,53106,2,1500000US371830531062,Block Group 2,BG,5234882,20945,2415.0,108750.0
371830531091,3,37,37183,053109,1,Fuquay-Varina Community Library,15,50,31,6.133732430505277,3.8113234540754943,37,183,53109,1,1500000US371830531091,Block Group 1,BG,15494377,212280,2346.0,65769.0
371830531092,3,37,37183,053109,2,Fuquay-Varina Community Library,15,50,31,3.8762249472790007,2.4085737717157,37,183,53109,2,1500000US371830531092,Block Group 2,BG,10784141,49929,5943.0,87780.0
371830531093,3,37,37183,053109,3,Fuquay-Varina Community Library,15,50,31,3.5974175913032465,2.2353309661256895,37,183,53109,3,1500000US371830531093,Block Group 3,BG,7547419,178989,3323.0,101563.0
371830531101,3,37,37183,053110,1,Fuquay-Varina Community Library,15,50,31,10.478711589327565,6.511167498972059,37,183,53110,1,1500000US371830531101,Block Group 1,BG,11464842,14869,2549.0,124592.0
371830531102,3,37,37183,053110,2,Fuquay-Varina Community Library,15,50,31,7.887850415865605,4.901281500756827,37,183,53110,2,1500000US371830531102,Block Group 2,BG,8115918,11096,1636.0,65200.0
371830531103,3,37,37183,053110,3,Fuquay-Varina Community Library,15,50,31,6.354933971364466,3.94877167672071,37,183,53110,3,1500000US371830531103,Block Group 3,BG,9512931,0,2474.0,143438.0
371830531111,3,37,37183,053111,1,Fuquay-Varina Community Library,15,50,31,8.408406726806039,5.224740096242195,37,183,53111,1,1500000US371830531111,Block Group 1,BG,4126011,0,2492.0,127738.0
371830531112,3,37,37183,053111,2,Fuquay-Varina Community Library,15,50,31,10.336899446306342,6.423049545850818,37,183,53111,2,1500000US371830531112,Block Group 2,BG,6985890,65799,2175.0,114544.0
