census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income,median_age
530330058014,custom_0,53,53033,005801,4,Seattle Central Library,15,50,31,1.3165815695661351,0.818085606462879,53,33,5801,4,1500000US530330058014,Block Group 4,BG,1059727,260223,1327.0,119083.0,30.8
530330058031,custom_0,53,53033,005803,1,Seattle Central Library,15,50,31,2.4893150629315937,1.5467881899688674,53,33,5803,1,1500000US530330058031,Block Group 1,BG,392336,0,1993.0,147582.0,33.9
530330058032,custom_0,53,53033,005803,2,Seattle Central Library,15,50,31,3.214065996490979,1.997127402305596,53,33,5803,2,1500000US530330058032,Block Group 2,BG,439761,0,1275.0,129808.0,39.9
530330058041,custom_0,53,53033,005804,1,Seattle Central Library,15,50,31,3.795142389117368,2.358191421468248,53,33,5804,1,1500000US530330058041,Block Group 1,BG,2113989,1169687,1166.0,89234.0,32.8
530330058042,custom_0,53,53033,005804,2,Seattle Central Library,15,50,31,3.146292191517139,1.9550147253351962,53,33,5804,2,1500000US530330058042,Block Group 2,BG,220454,0,1153.0,71935.0,37.7
530330059011,custom_0,53,53033,005901,1,Seattle Central Library,15,50,31,1.8004635769779676,1.1187558532903767,53,33,5901,1,1500000US530330059011,Block Group 1,BG,402028,173882,1602.0,115550.0,32.2
530330059012,custom_0,53,53033,005901,2,Seattle Central Library,15,50,31,2.6237744877781997,1.6303373772452276,53,33,5901,2,1500000US530330059012,Block Group 2,BG,192137,0,1159.0,216250.0,20.1
530330059013,custom_0,53,53033,005901,3,Seattle Central Library,15,50,31,2.2721703163985687,1.411860741670895,53,33,5901,3,1500000US530330059013,Block Group 3,BG,184220,0,1262.0,146618.0,20.8
530330059021,custom_0,53,53033,005902,1,Seattle Central Library,15,50,31,2.6302916121359385,1.6343869293245203,53,33,5902,1,1500000US530330059021,Block Group 1,BG,265374,0,1960.0,162321.0,31.4
530330059022,custom_0,53,53033,005902,2,Seattle Central Library,15,50,31,2.711221743737585,1.684674566127967,53,33,5902,2,1500000US530330059022,Block Group 2,BG,320207,0,1107.0,209054.0,42.8
530330059023,custom_0,53,53033,005902,3,Seattle Central Library,15,50,31,3.1305281506629923,1.9452194075056142,53,33,5902,3,1500000US530330059023,Block Group 3,BG,437395,0,1119.0,104432.0,35.2
530330060001,custom_0,53,53033,006000,1,Seattle Central Library,15,50,31,2.856882909121619,1.7751841901238095,53,33,6000,1,1500000US530330060001,Block Group 1,BG,251142,92340,1442.0,100294.0,30.6
530330060002,custom_0,53,53033,006000,2,Seattle Central Library,15,50,31,3.3947039116080773,2.1093705642598226,53,33,6000,2,1500000US530330060002,Block Group 2,BG,425237,21082,1483.0,248491.0,36.9
530330060003,custom_0,53,53033,006000,3,Seattle Central Library,15,50,31,3.3679548772250483,2.0927494900162054,53,33,6000,3,1500000US530330060003,Block Group 3,BG,387902,0,1695.0,120444.0,42.1
530330060004,custom_0,53,53033,006000,4,Seattle Central Library,15,50,31,2.9228523919607188,1.8161757136450238,53,33,6000,4,1500000US530330060004,Block Group 4,BG,276372,47332,1560.0,64382.0,29.9
530330061001,custom_0,53,53033,006100,1,Seattle Central Library,15,50,31,1.4635230377907533,0.9093907735150782,53,33,6100,1,1500000US530330061001,Block Group 1,BG,290312,104831,1621.0,141172.0,34.3
530330061002,custom_0,53,53033,006100,2,Seattle Central Library,15,50,31,2.0314256740400976,1.2622690025039696,53,33,6100,2,1500000US530330061002,Block Group 2,BG,458573,157902,1077.0,122683.0,42.3
