name,latitude,longitude,type,address,city,subtype
Sam's Club,38.7859671,-97.608707,walmart,"Market Place, Salina, KS 67401",Salina,sams_club
Walmart Supercenter,38.785371,-97.6151737,walmart,"South 9th Street, Salina, KS 67401",Salina,supercenter
Walmart Supercenter,38.9235168,-95.2568392,walmart,"Iowa Street, Lawrence, KS 66046",Lawrence,supercenter
Walmart Supercenter,39.1322056,-94.8300457,walmart,"Parallel Parkway, Kansas City, KS 66109",Kansas City,supercenter
Sam's Club,38.8863915,-94.6831198,walmart,"West 135th Street, Overland Park, KS 66223",Overland Park,sams_club
Sam's Club,39.0430968,-95.7651748,walmart,"Southwest Winding Road, Topeka, KS 66604",Topeka,sams_club
Walmart Supercenter,38.9982335,-95.6939899,walmart,"Southwest 37th Street, Topeka, KS 66611",Topeka,supercenter
Walmart Supercenter,39.0938437,-95.6716256,walmart,"Northwest Rochester Road, Topeka, KS 66617",Topeka,supercenter
Walmart Supercenter,37.2272533,-96.9927108,walmart,"Pike Road, Winfield, KS 67156",Winfield,supercenter
Walmart Supercenter,37.0897745,-97.0430913,walmart,"North Summit Street, Arkansas City, KS 67005",Arkansas City,supercenter
