name,latitude,longitude,type,address,city,subtype
Eastern Gate,37.7507651,-97.2616917,small_grocer,"North Woodlawn Boulevard, Wichita, KS 67220",Wichita,supermarket
Farmer's Market,37.7359522,-97.3366721,small_grocer,"North Broadway Street, Wichita, KS 67219",Wichita,supermarket
Mi Mexico Lindo Market,37.7314273,-97.3444742,small_grocer,"North Arkansas Avenue, Wichita, KS 67204",Wichita,supermarket
La Tapatia Market,37.659253,-97.3531968,small_grocer,"South Seneca Street, Wichita, KS 67213",Wichita,supermarket
Asia Bazaar,37.7240425,-97.2655135,small_grocer,"East 21st Street North, Wichita, KS 67208",Wichita,supermarket
Asian Groceries,37.7226367,-97.2641341,small_grocer,"East 21st Street North, Wichita, KS 67208",Wichita,supermarket
Guelaguetza Market,37.6730989,-97.2615337,small_grocer,"South Woodlawn Boulevard, Wichita, KS 67218",Wichita,supermarket
Mercadito Salvadoreno,37.663289,-97.2995742,small_grocer,"South George Washington Boulevard, Wichita, KS 67211",Wichita,supermarket
Afghan Halal Market,37.6680063,-97.2796476,small_grocer,"South Oliver Avenue, Wichita, KS 67218",Wichita,supermarket
Happy Grocery,37.6771585,-97.280051,small_grocer,"South Oliver Avenue, Wichita, KS 67218",Wichita,supermarket
Dillons,38.059209,-97.936348,small_grocer,"West 5th Avenue, Hutchinson, KS 67501",Hutchinson,supermarket
Dillons Marketplace,38.0892636,-97.8958708,small_grocer,"Plaza East Drive, Hutchinson, KS 67502",Hutchinson,supermarket
Dillons,38.0680573,-97.9323167,small_grocer,"North Main Street, Hutchinson, KS 67501",Hutchinson,supermarket
Dillons,38.0570654,-97.9161295,small_grocer,"East 4th Avenue, Hutchinson, KS 67501",Hutchinson,supermarket
Baldwin City Market,38.7830411,-95.1883412,small_grocer,", , KS",,supermarket
Alps Foods,39.5617148,-95.1181217,small_grocer,"Commercial Street, Atchison, KS 66002",Atchison,supermarket
G&W Foods,37.6814238,-95.4602218,small_grocer,"West Main Street, Chanute, KS 66720",Chanute,supermarket
Commercial Signs & T-Shirts,38.8273037,-97.5970754,small_grocer,"East Crawford Street, Salina, KS",Salina,supermarket
The Kansas City BBQ Store,38.9122082,-94.767914,small_grocer,", , KS",,supermarket
Pan-Asia Market,38.9117254,-94.6653655,small_grocer,", , KS",,supermarket
Target,38.950658,-94.7196409,small_grocer,"West 97th Street, Overland Park, KS 66214-2289",Overland Park,supermarket
Dillons,37.724621,-97.2424379,small_grocer,"North Rock Road, Wichita, KS 67226",Wichita,supermarket
Dillons,39.1826003,-96.5560545,small_grocer,"Sarber Lane, Manhattan, KS 66502",Manhattan,supermarket
Fort Leavenworth Commissary,39.3401934,-94.9227324,small_grocer,"Kansas Ave, Leavenworth, KS 66027",Leavenworth,supermarket
Dillons Marketplace,37.7240161,-97.4611311,small_grocer,"West 21st Street North, Wichita, KS 67205",Wichita,supermarket
Dara's Fast Lane,39.1934914,-96.5863222,small_grocer,"Claflin Road, Manhattan, KS 66502",Manhattan,supermarket
Crome's Market,39.8414396,-96.6513576,small_grocer,", Marysville, KS",Marysville,supermarket
Hen House,39.1296639,-94.7672989,small_grocer,"Parallel Parkway, Kansas City, KS 66112",Kansas City,supermarket
Grocery Outlet,38.8821946,-94.780658,small_grocer,", , KS",,supermarket
Ray's Apple Market,38.6611589,-96.4852594,small_grocer,", , KS",,supermarket
McKeever's Price Chopper,38.8864454,-94.7215899,small_grocer,", , KS",,supermarket
Dillons,39.013367,-95.7823144,small_grocer,"Southwest 29th Street, Topeka, KS 66614",Topeka,supermarket
Gene's Heartland Foods,39.7845982,-98.7895877,small_grocer,", , KS",,supermarket
Base Exchange,37.6295464,-97.2486823,small_grocer,", , KS",,supermarket
Commissary,37.6295047,-97.2473327,small_grocer,"Derby Court, McConnell Air Force Base, KS 67221",McConnell Air Force Base,supermarket
Hy-Vee,38.9110062,-94.7951414,small_grocer,"West 119th Street, Olathe, KS 66061",Olathe,supermarket
Hy-Vee,39.1850677,-96.5607054,small_grocer,"North 3rd Place, Manhattan, KS 66502",Manhattan,supermarket
Checkers,38.9419738,-95.2406551,small_grocer,"Louisiana Street, Lawrence, KS 66046",Lawrence,supermarket
Dillons,39.1911388,-96.6109413,small_grocer,"Westloop Place, Manhattan, KS 66502",Manhattan,supermarket
Dillons,38.9701868,-95.3041142,small_grocer,"West 6th Street, Lawrence, KS 66049",Lawrence,supermarket
Dillons,38.7995145,-97.6149572,small_grocer,"Planet Avenue, Salina, KS 67401",Salina,supermarket
ALDI,39.1798208,-96.554574,small_grocer,"East Poyntz Avenue, Manhattan, KS 66502",Manhattan,supermarket
Price Chopper,39.0131291,-94.5903507,small_grocer,", , KS",,supermarket
St. Francis Super's,39.7745041,-101.8004872,small_grocer,", , KS",,supermarket
Dillons,38.8138148,-97.5923642,small_grocer,"East Cloud Street, Salina, KS 67401",Salina,supermarket
Dillons,38.9420131,-95.2485407,small_grocer,"West 23rd Street, Lawrence, KS 66046",Lawrence,supermarket
Joslyn's,39.3580804,-100.4390415,small_grocer,", , KS",,supermarket
El Rio Bravo,39.0999336,-94.6346863,small_grocer,"South 10th Street, Kansas City, KS 66102",Kansas City,supermarket
Hy-Vee,39.0191009,-94.662331,small_grocer,"Martway Street, Mission, KS 66202",Mission,supermarket
Target,39.0179381,-94.6646572,small_grocer,"Broadmoor Street, Mission, KS 66202",Mission,supermarket
Hy-Vee,39.2451124,-94.6456932,small_grocer,"North Saint Clair Avenue, Kansas City, KS 64151",Kansas City,supermarket
Price Chopper,38.9144877,-94.6729262,small_grocer,", , KS",,supermarket
Hy-Vee,39.2114436,-94.6414559,small_grocer,"Northwest 64th Street, Kansas City, KS 64151",Kansas City,supermarket
Price Chopper,39.2093524,-94.6859042,small_grocer,"Tom Watson Parkway, Parkville, KS 64152",Parkville,supermarket
ALDI,38.8845191,-94.6855944,small_grocer,"West 135th Street, Overland Park, KS 66213",Overland Park,supermarket
Hy-Vee,38.885289,-94.6885506,small_grocer,"West 135th Street, Overland Park, KS 66221",Overland Park,supermarket
Cracker Barrel,39.0409037,-95.7584199,small_grocer,"Southwest Ashworth Place, Topeka, KS 66604",Topeka,supermarket
Country Corner,39.6102764,-100.0018182,small_grocer,", , KS",,supermarket
Babcock's Grocery,39.661965,-99.5681467,small_grocer,", , KS",,supermarket
Supermart El Torito,39.1006077,-95.6630593,small_grocer,"Northwest Topeka Boulevard, Topeka, KS 66617",Topeka,supermarket
Dillons,39.0936048,-95.6745635,small_grocer,"Northwest 25th Street, Topeka, KS 66618",Topeka,supermarket
Dillons,37.2259255,-96.9937065,small_grocer,"Main Street, Winfield, KS 67156",Winfield,supermarket
Dillons,37.8251839,-96.8479186,small_grocer,"North Main Street, El Dorado, KS 67042",El Dorado,supermarket
Dillons,39.0165806,-95.6498459,small_grocer,"Southeast 29th Street, Topeka, KS 66605",Topeka,supermarket
Dillons,39.0141354,-95.7132878,small_grocer,"Southwest 29th Street, Topeka, KS 66614",Topeka,supermarket
Hy-Vee,39.0121734,-95.7639803,small_grocer,"Southwest Wanamaker Road, Topeka, KS 66614",Topeka,supermarket
Dillons,39.0290153,-96.8401224,small_grocer,"West 6th Street, Junction City, KS 66441",Junction City,supermarket
La Favorita Market,37.0811727,-97.0404325,small_grocer,"North Summit Street, , KS 67005",,supermarket
Country Mart,37.068892,-97.0381454,small_grocer,"North Summit Street, , KS 67005",,supermarket
Dillons,37.0665434,-97.0399628,small_grocer,"North Summit Street, Arkansas City, KS 67005",Arkansas City,supermarket
Village Market,37.079017,-97.0510274,small_grocer,"West Kansas Avenue, , KS 67005",,supermarket
The Farmhouse,39.4317328,-96.6147926,small_grocer,", , KS",,supermarket
Kora's Oriental Food Market,37.2360066,-96.9974951,small_grocer,"Main Street, , KS 67156",,supermarket
Target,38.9257363,-95.2641718,small_grocer,"Iowa Street, Lawrence, KS 66046",Lawrence,supermarket
The Health Food Store,39.1911754,-96.0622258,small_grocer,", , KS",,supermarket
Wehner Thriftway,39.131323,-95.9452452,small_grocer,"East Highway 24 Trafficway, Rossville, KS 66533",Rossville,supermarket
Wehner's Thriftway,39.0951923,-95.85688,small_grocer,"Northwest US 24 Highway, Silver Lake, KS 66539",Silver Lake,supermarket
Price Chopper,38.8391873,-94.7817826,small_grocer,"South Mur-Len Road, , KS",,supermarket
Dillons,38.9518225,-95.2352963,small_grocer,"Massachusetts Street, Lawrence, KS 66044",Lawrence,supermarket
Natural Grocers,38.9421851,-95.2507474,small_grocer,"West 23rd Street, Lawrence, KS 66046",Lawrence,supermarket
ALDI,38.929052,-95.2615885,small_grocer,"Iowa Street, Lawrence, KS 66046",Lawrence,supermarket
F-Mart,38.9739046,-95.2555057,small_grocer,"Colorado Street, Lawrence, KS 66044",Lawrence,supermarket
Dillons,38.9726247,-95.2716733,small_grocer,"West 6th Street, Lawrence, KS 66049",Lawrence,supermarket
Hy-Vee,38.9444098,-95.2806093,small_grocer,"Clinton Parkway, Lawrence, KS 66047",Lawrence,supermarket
HillCreek Market,39.0416479,-95.3912212,small_grocer,"Eisenhower Memorial Drive, Lecompton, KS 66050",Lecompton,supermarket
La Estrella Store,39.1822777,-96.5573006,small_grocer,"Tuttle Creek Boulevard, , KS 66502",,supermarket
Hometown Foods,39.6824582,-96.6604373,small_grocer,", , KS",,supermarket
Haverkamp Grocery,39.7262762,-96.1255899,small_grocer,", , KS",,supermarket
C&D's Food Mart,39.5884657,-95.6128259,small_grocer,", , KS",,supermarket
Jim's Horton Thriftway,39.6676592,-95.5245715,small_grocer,", , KS",,supermarket
John's Market,39.7894728,-95.0860612,small_grocer,", , KS",,supermarket
ALDI,39.8073475,-94.8167371,small_grocer,"North Belt Highway, Saint Joseph, KS 64506",Saint Joseph,supermarket
Hen House,38.9798904,-94.6335733,small_grocer,"West 83rd Street, Prairie Village, KS",Prairie Village,supermarket
Trader Joe's,37.7162562,-97.2435536,small_grocer,"North Rock Road, Wichita, KS 67206",Wichita,supermarket
Brookside Market,39.0150653,-94.5889018,small_grocer,", , KS",,supermarket
Dillons,37.6921131,-97.2458668,small_grocer,"East Central Avenue, Wichita, KS 67206",Wichita,supermarket
Town and Country Supermarket,38.5210191,-98.7747521,small_grocer,", Hoisington, KS 67544",Hoisington,supermarket
Price Chopper,39.3507952,-94.7677744,small_grocer,"Ensign Hill Drive, Platte City, KS 64079",Platte City,supermarket
Natural Grocers,39.0296752,-95.7579233,small_grocer,"Southwest 21st Street, Topeka, KS 66604",Topeka,supermarket
Marsh's Sun Fresh Market,39.0546678,-94.5949093,small_grocer,"Mill Street, Kansas City, KS 64111",Kansas City,supermarket
ALDI,37.4397218,-94.7061523,small_grocer,"North Broadway Street, Pittsburg, KS 66762",Pittsburg,supermarket
Hen House Market,38.8857464,-94.6656221,small_grocer,"West 135th Street, Overland Park, KS 66223",Overland Park,supermarket
Price Chopper,38.885286,-94.6276316,small_grocer,", , KS",,supermarket
ALDI,38.9149871,-94.7630524,small_grocer,"West 119th Street, Olathe, KS 66062",Olathe,supermarket
Price Chopper,38.8824286,-94.8364679,small_grocer,"North Parker Street, Olathe, KS 66061",Olathe,supermarket
ALDI,38.8504794,-94.8198117,small_grocer,"West 154th Street, Olathe, KS 66062",Olathe,supermarket
Our Store,38.7964834,-96.9570048,small_grocer,", , KS",,supermarket
Dillons,37.5636148,-97.2412197,small_grocer,"North Rock Road, Derby, KS 67037",Derby,supermarket
ALDI,38.9914225,-94.5926164,small_grocer,"Wornall Road, Kansas City, KS 64114",Kansas City,supermarket
Sprouts Farmers Market,39.2098582,-94.650264,small_grocer,"Northwest 64th Street, Kansas City, KS 64151",Kansas City,supermarket
Stanton County Foods Inc,37.564793,-101.7515476,small_grocer,"South Main Street, Johnson City, KS 67855",Johnson City,supermarket
Auburn Apple Market,38.9131297,-95.8157924,small_grocer,"North Washington Street, Auburn, KS 66402",Auburn,supermarket
Hy-Vee,38.9556538,-94.6835021,small_grocer,"West 95th Street, Overland Park, KS 66212",Overland Park,supermarket
Dillons,37.7099973,-97.4457426,small_grocer,"West 13th Street North, Wichita, KS 67212",Wichita,supermarket
Country Harvest Apple Market,39.3403945,-95.4595714,small_grocer,", , KS",,supermarket
Dillons,37.6872676,-97.3004133,small_grocer,"East Douglas Avenue, Wichita, KS 67214",Wichita,supermarket
Jetmore Food Center,38.0860177,-99.8934344,small_grocer,"Wash Street, Jetmore, KS 67854",Jetmore,supermarket
Dillons,38.1781184,-99.1005933,small_grocer,"Main Street, Larned, KS 67550",Larned,supermarket
Dillons,38.8754793,-99.3163382,small_grocer,"Vine Street, Hays, KS 67601",Hays,supermarket
Dillons,38.8862664,-99.3353315,small_grocer,"West 27th Street, Hays, KS 67601",Hays,supermarket
Green Hills,39.9419254,-94.8266303,small_grocer,", , KS",,supermarket
Brothers Market,39.9381582,-94.8202072,small_grocer,"East Price Avenue, Savannah, KS 64485",Savannah,supermarket
